tempo,p_man,q_tr
"2641,015775","-5,097657","198,921562"
"2656,021547","-5,098333","198,921079"
"2671,027318","-5,098949","198,920640"
"2686,033090","-5,099510","198,920240"
"2701,038861","-5,100022","198,919876"
"2716,044633","-5,100487","198,919544"
"2731,050404","-5,100911","198,919242"
"2746,056175","-5,101297","198,918966"
"2761,061947","-5,101649","198,918716"
"2776,067718","-5,101969","198,918488"
"2791,073490","-5,102260","198,918280"
"2806,079261","-5,102526","198,918091"
"2821,085033","-5,102767","198,917918"
"2836,090804","-5,102987","198,917761"
"2851,096576","-5,103188","198,917618"
"2866,102347","-5,103371","198,917488"
"2881,108119","-5,103537","198,917370"
"2896,113890","-5,103689","198,917262"
"2911,119661","-5,103827","198,917163"
"2926,125433","-5,103952","198,917073"
"2941,131204","-5,104067","198,916992"
"2956,136976","-5,104171","198,916918"
"2971,142747","-5,104266","198,916850"
"2986,148519","-5,104353","198,916788"
"3001,154290","-5,104353","198,916788"
"3016,160062","-4,246842","185,094083"
"3031,165833","-3,465103","185,688071"
"3046,171604","-2,755604","186,225682"
"3061,177376","-2,111563","186,712481"
"3076,183147","-1,526928","187,153385"
"3091,188919","-0,996217","187,552809"
"3106,194690","-0,514453","187,914730"
"3121,200462","-0,077124","188,242724"
"3136,206233","0,319870","188,540019"
"3151,212005","0,680250","188,809529"
"3166,217776","1,007393","189,053881"
"3181,223548","1,304362","189,275449"
"3196,229319","1,573942","189,476378"
"3211,235090","1,818658","189,658608"
"3226,240862","2,040803","189,823894"
"3241,246633","2,242458","189,973821"
"3256,252405","2,425514","190,109828"
"3271,258176","2,591685","190,233213"
"3286,263948","2,742529","190,345153"
"3301,269719","2,879459","190,446721"
"3316,275491","3,003758","190,538873"
"3331,281262","3,116592","190,622488"
"3346,287033","3,219018","190,698376"
"3361,292805","3,311995","190,767218"
"3376,298576","3,396396","190,829700"
"3391,304348","3,473012","190,886435"
"3406,310119","3,542560","190,937834"
"3421,315891","3,605692","190,984562"
"3436,321662","3,663001","191,026973"
"3451,327434","3,715023","191,065422"
"3466,333205","3,762246","191,100333"
"3481,338977","3,805113","191,132021"
"3496,344748","3,844026","191,160781"
"3511,350519","3,879349","191,186885"
"3526,356291","3,911414","191,210578"
"3541,362062","3,940521","191,232083"
"3556,367834","3,966943","191,251602"
"3571,373605","3,990927","191,269319"
